Section name,Ti,TiD
BISH-BABOGAYA11-1A-1U-10A,0.034508534,345.08534
BISH-BABOGAYA11-1A-1U-10A,0.037936968,379.36968
BISH-BABOGAYA11-1A-1U-10A,0.037207924,372.07924
BISH-BABOGAYA11-1A-1U-10A,0.037642539,376.42539
BISH-BABOGAYA11-1A-1U-10A,0.041359705,413.59705
BISH-BABOGAYA11-1A-1U-10A,0.040047646,400.47646
BISH-BABOGAYA11-1A-1U-10A,0.045244576,452.44576
BISH-BABOGAYA11-1A-1U-10A,0.045745284,457.45284
BISH-BABOGAYA11-1A-1U-10A,0.048861267,488.61267
BISH-BABOGAYA11-1A-1U-10A,0.043474777,434.74777
BISH-BABOGAYA11-1A-1U-10A,0.043270214,432.70214
BISH-BABOGAYA11-1A-1U-10A,0.043306928,433.06928
BISH-BABOGAYA11-1A-1U-10A,0.046494465,464.94465
BISH-BABOGAYA11-1A-1U-10A,0.046230005,462.30005
BISH-BABOGAYA11-1A-1U-10A,0.043281412,432.81412
